transcript,hippuristanol_CDS_max,hippuristanol_CDS_average,hippuristanol_CDS_std,hippuristanol_CDS_gini
PB2015.4896.1,2.377,0.2577450738915496,0.4068485911806207,0.728404026625
PB2015.10847.2,5.61866666667,0.7705759209345283,1.2086216918381196,0.726348038181
PB2015.6092.1,1.80166666667,0.3631033333333137,0.3879517534769322,0.568325198724
PB2015.6092.2,1.82233333333,0.3638781094527635,0.41826385231207003,0.599463808325
PB2015.10847.1,1.49733333333,0.32353378378383646,0.34925476912085074,0.573851865461
PB2015.4050.1,2.10933333333,0.16635852881551258,0.30766220232404967,0.783428413134
PB2015.12659.1,3.221,0.1707191697191196,0.3663510325500311,0.814987505956
PB2015.10163.2,1.35033333333,0.25103732303729726,0.3182857476227929,0.63650688257
PB2015.1248.2,1.67766666667,0.1724259718776196,0.2780241954080251,0.725543062196
PB2015.8246.1,2.79366666667,0.1533795033228678,0.39738982518779076,0.879924643374
PB2015.1248.1,1.396,0.1516533333332703,0.2634597149650654,0.762452281071
PB2015.9581.4,2.65966666667,0.24658801498131072,0.48818554479676074,0.791622516008
PB2015.5750.5,1.89133333333,0.3527748717948544,0.36399616944220536,0.549497038023
PB2015.5750.2,1.85633333333,0.362579977628602,0.3665457184824387,0.541910453076
PB2015.9581.3,2.07333333333,0.18662036016171002,0.3551432837464935,0.786598810857
PB2015.8322.1,2.333,0.22660840840837657,0.31832626976642336,0.67028017461
PB2015.8322.2,2.32733333333,0.2261747747748,0.31787055128107217,0.670469339702
PB2015.2528.1,1.97266666667,0.1800407792636777,0.30747588451400676,0.748410438621
PB2015.12206.2,1.85133333333,0.3914773662551552,0.3536311486760694,0.495001928001
PB2015.12206.1,1.82733333333,0.3898961121733441,0.35496546455671313,0.49963182739
PB2015.11301.1,2.67,0.1635188959660255,0.3553035793614178,0.828483615556
PB2015.9602.5,2.309,0.2103833596629294,0.34622226415248347,0.730582895833
PB2015.3720.3,4.85866666667,0.2708888888888972,0.7186997273793274,0.882082666889
PB2015.3720.2,5.467,0.35265479723029075,0.8714913858431448,0.866254647303
PB2015.4066.2,1.74766666667,0.42051031487515633,0.3751349938979916,0.484838848886
PB2015.15173.1,1.47366666667,0.2424548408057239,0.3258912900813267,0.66464709496
PB2015.15648.1,1.91566666667,0.19583669724770916,0.30669565917825264,0.722210681018
PB2015.1375.18,2.341,0.32258280922434945,0.4479858664630047,0.669527285314
