NM_001018160	PB2015.6184.4	99.925	1339	0	1	1	1338	426	1764	0.0	2466
NM_019625	PB2015.4050.1	100.000	2301	0	0	1	2301	245	2545	0.0	4250
NM_203444	PB2015.4050.2	100.000	1743	0	0	1	1743	226	1968	0.0	3219
NM_001303270	PB2015.1296.1	83.478	230	33	4	2392	2618	387	614	2.14e-52	209
NM_001270408	PB2015.3076.1	89.189	74	5	3	865	935	911	984	1.02e-16	89.8
NM_001330449	PB2015.5750.9	99.877	816	1	0	415	1230	275	1090	0.0	1502
NM_015944	PB2015.5750.4	99.779	906	0	2	415	1320	464	1367	0.0	1661
NM_015944	PB2015.5750.5	100.000	1320	0	0	1	1320	106	1425	0.0	2438
NM_015944	PB2015.5750.6	99.860	716	0	1	415	1130	648	1362	0.0	1315
NM_015944	PB2015.5750.7	100.000	1130	0	0	1	1130	60	1189	0.0	2087
NM_001330449	PB2015.5750.1	100.000	558	0	0	415	972	497	1054	0.0	1031
NM_001330449	PB2015.5750.2	100.000	1230	0	0	1	1230	67	1296	0.0	2272
NM_001330449	PB2015.5750.3	100.000	972	0	0	1	972	108	1079	0.0	1796
NM_030593	PB2015.8322.1	100.000	1059	0	0	1	1059	245	1303	0.0	1956
NM_012237	PB2015.8322.2	100.000	1107	0	0	64	1170	214	1320	0.0	2045
NM_001321328	PB2015.16416.1	97.297	37	0	1	37	73	1	36	2.97e-08	62.1
NM_012237	PB2015.8322.4	99.910	1110	0	1	61	1170	198	1306	0.0	2043
NM_012237	PB2015.8322.5	100.000	48	0	0	17	64	1196	1243	1.28e-16	89.8
NM_018288	PB2015.14157.1	99.800	1497	0	3	1	1497	22	1515	0.0	2745
NM_020128	PB2015.3720.3	99.814	539	1	0	131	669	678	1216	0.0	990
NM_020128	PB2015.3720.2	100.000	669	0	0	1	669	118	786	0.0	1236
NM_001205028	PB2015.3720.1	100.000	871	0	0	1	871	47	917	0.0	1609
NM_006815	PB2015.4066.3	100.000	430	0	0	177	606	5	434	0.0	795
NM_006815	PB2015.4066.2	99.835	606	1	0	1	606	109	714	0.0	1114
NM_006815	PB2015.4066.1	99.444	180	1	0	1	180	112	291	1.27e-88	327
NM_001145465	PB2015.7039.1	93.684	95	6	0	6	100	1168	1262	4.60e-33	143
NM_006473	PB2015.2735.1	99.947	1870	0	1	1	1869	139	2008	0.0	3446
NM_007175	PB2015.15173.1	100.000	1020	0	0	1	1020	77	1096	0.0	1884
NM_007175	PB2015.15173.2	100.000	358	0	0	663	1020	5	362	0.0	662
NM_003851	PB2015.1247.2	100.000	525	0	0	139	663	17	541	0.0	970
NM_018126	PB2015.12098.1	100.000	454	0	0	291	744	6	459	0.0	839
NM_012176	PB2015.12659.1	100.000	1164	0	0	1	1164	14	1177	0.0	2150
NM_001303270	PB2015.15668.1	81.900	221	40	0	2399	2619	2209	2429	1.00e-45	187
NM_170740	PB2015.13456.1	99.096	885	0	8	765	1647	309	1187	0.0	1583
NM_001243251	PB2015.3004.8	100.000	753	0	0	1	753	315	1067	0.0	1391
NM_024678	PB2015.3004.9	100.000	925	0	0	510	1434	1	925	0.0	1709
NM_001243251	PB2015.3004.6	100.000	753	0	0	1	753	567	1319	0.0	1391
NM_024678	PB2015.3004.7	99.791	478	1	0	957	1434	642	1119	0.0	878
NM_001243251	PB2015.3004.4	100.000	753	0	0	1	753	1038	1790	0.0	1391
NM_024678	PB2015.3004.5	100.000	752	0	0	683	1434	1	752	0.0	1389
NM_001243251	PB2015.3004.2	96.414	753	0	1	1	753	556	1281	0.0	1216
NM_001243251	PB2015.3004.3	100.000	753	0	0	1	753	575	1327	0.0	1391
NM_024678	PB2015.3004.1	99.677	620	0	2	817	1434	568	1187	0.0	1133
NM_015944	PB2015.5750.8	100.000	1101	0	0	220	1320	138	1238	0.0	2034
NM_004572	PB2015.13838.1	93.137	102	6	1	1412	1512	1057	1158	4.78e-34	148
NM_001288726	PB2015.13471.1	84.170	259	36	5	1142	1397	465	721	9.95e-64	246
NM_018449	PB2015.15743.1	99.875	798	1	0	1	798	111	908	0.0	1469
NM_004242	PB2015.13842.2	100.000	300	0	0	1	300	299	598	2.53e-157	555
NM_138730	PB2015.13842.3	100.000	234	0	0	1	234	124	357	9.41e-121	433
NM_001201362	PB2015.13842.1	100.000	288	0	0	1	288	144	431	1.14e-150	532
NM_001270408	PB2015.13842.6	94.030	67	4	0	867	933	659	725	1.32e-20	102
NM_001201362	PB2015.13842.4	100.000	193	0	0	96	288	5	197	7.33e-98	357
NM_001318885	PB2015.13842.5	100.000	197	0	0	14	210	161	357	3.73e-100	364
NM_001330337	PB2015.15652.1	100.000	186	0	0	154	339	334	519	2.33e-93	344
NM_138408	PB2015.13954.1	100.000	642	0	0	1	642	71	712	0.0	1186
NM_002801	PB2015.6214.1	100.000	265	0	0	558	822	246	510	2.10e-137	490
NM_002801	PB2015.6214.2	100.000	822	0	0	1	822	111	932	0.0	1519
NM_001204425	PB2015.4419.1	100.000	902	0	0	1	902	610	1511	0.0	1666
NM_017693	PB2015.4419.3	98.565	1533	1	1	1	1512	596	2128	0.0	2689
NM_017693	PB2015.4419.2	100.000	1512	0	0	1	1512	615	2126	0.0	2793
NM_153336	PB2015.2370.3	99.850	665	1	0	213	877	33	697	0.0	1223
NM_153336	PB2015.2370.2	99.886	877	0	1	1	877	67	942	0.0	1613
NM_153336	PB2015.2370.1	100.000	1047	0	0	1	1047	95	1141	0.0	1934
NM_148887	PB2015.1465.1	90.000	80	8	0	5	84	481	560	3.17e-21	104
NM_030593	PB2015.8322.3	100.000	158	0	0	902	1059	321	478	8.23e-78	292
NM_016272	PB2015.10871.1	99.903	1035	1	0	1	1035	488	1522	0.0	1906
NM_016272	PB2015.10871.2	99.903	1035	1	0	1	1035	364	1398	0.0	1906
NM_006545	PB2015.11251.8	99.695	983	1	2	161	1143	392	1372	0.0	1797
NM_006545	PB2015.11251.9	100.000	804	0	0	340	1143	309	1112	0.0	1485
NM_006545	PB2015.11251.6	100.000	805	0	0	339	1143	301	1105	0.0	1487
NM_006545	PB2015.11251.7	100.000	696	0	0	448	1143	1095	1790	0.0	1286
NM_006545	PB2015.11251.4	100.000	1143	0	0	1	1143	172	1314	0.0	2111
NM_006545	PB2015.11251.5	100.000	238	0	0	448	685	1771	2008	3.00e-122	440
NM_006545	PB2015.11251.2	96.774	806	0	1	338	1143	708	1487	0.0	1321
NM_006545	PB2015.11251.3	99.380	806	0	3	338	1143	1288	2088	0.0	1456
NM_006545	PB2015.11251.1	100.000	1068	0	0	76	1143	782	1849	0.0	1973
NM_000391	PB2015.2501.1	99.275	276	1	1	1417	1692	6	280	2.62e-139	497
NM_015196	PB2015.12451.1	99.953	2135	1	0	1194	3328	5	2139	0.0	3938
NM_015196	PB2015.12451.2	99.968	3094	1	0	1737	4830	1	3094	0.0	5709
NM_002156	PB2015.12603.1	100.000	1141	0	0	582	1722	1	1141	0.0	2108
NM_007210	PB2015.3542.4	99.946	1869	1	0	1	1869	555	2423	0.0	3446
NM_007210	PB2015.3542.7	99.946	1869	1	0	1	1869	463	2331	0.0	3446
NM_001352133	PB2015.8038.1	89.216	102	10	1	180	280	428	529	1.53e-27	126
NM_007210	PB2015.3542.1	99.887	884	0	1	987	1869	1	884	0.0	1626
NM_007210	PB2015.3542.3	99.946	1869	1	0	1	1869	272	2140	0.0	3446
NM_007210	PB2015.3542.2	99.882	1698	1	1	1	1697	272	1969	0.0	3123
NM_007210	PB2015.3542.9	99.946	1869	1	0	1	1869	139	2007	0.0	3446
NM_007210	PB2015.3542.8	100.000	271	0	0	1599	1869	227	497	2.24e-140	501
NM_001199140	PB2015.9350.1	100.000	201	0	0	733	933	1	201	9.03e-102	372
NM_001199140	PB2015.9350.2	82.400	125	9	9	820	933	1	123	6.08e-19	97.1
NM_032189	PB2015.4442.1	99.688	641	0	2	2690	3328	1	641	0.0	1171
