transcript,control_tpUTR_max,control_tpUTR_average,control_tpUTR_std,control_tpUTR_gini
PB2015.4896.1,2.06466666667,0.08650291218638867,0.22668686920539602,0.872302067949
PB2015.10847.2,1.88933333333,0.03737645487501545,0.16903912853908826,0.956077881285
PB2015.6092.1,NA,NA,NA,NA
PB2015.6092.2,NA,NA,NA,NA
PB2015.10847.1,1.64333333333,0.10518411552342237,0.2697260993463785,0.872304148486
PB2015.4050.1,2.14233333333,0.17277175697866923,0.3055887314828635,0.757606749749
PB2015.12659.1,0.364666666667,0.02576444444445333,0.08228949392165787,0.916690242079
PB2015.10163.2,1.481,0.2329576107899769,0.3016709866758006,0.649623874666
PB2015.1248.2,1.569,0.17614639639639212,0.27519800104522507,0.724663708448
PB2015.8246.1,0.572666666667,0.019697318007666668,0.104229100151933,0.965575372205
PB2015.1248.1,1.63333333333,0.18252116203357174,0.2853586767046051,0.724629192569
PB2015.9581.4,1.612,0.19354956896549935,0.3201753731528566,0.743872036125
PB2015.5750.5,1.23633333333,0.1721162790698239,0.22829300831985108,0.654743038775
PB2015.5750.2,1.22633333333,0.17046857390552314,0.22644158660013045,0.655134742833
PB2015.9581.3,0.695,0.025426870748290815,0.0953589042293866,0.938904161758
PB2015.8322.1,2.01066666667,0.24254166666670218,0.33965281903671185,0.674907223518
PB2015.8322.2,1.99266666667,0.24103553921571064,0.3372796786969625,0.67477156292
PB2015.2528.1,1.407,0.18702696078424264,0.28414701230143624,0.717368751922
PB2015.12206.2,0.539333333333,0.12774999999991876,0.15767838222853897,0.627196469341
PB2015.12206.1,0.525333333333,0.12010784313716763,0.15239861562050672,0.642735046839
PB2015.11301.1,1.30066666667,0.04308173076923558,0.15772070836055652,0.931471740791
PB2015.9602.5,NA,NA,NA,NA
PB2015.3720.3,3.877,0.1265351351350991,0.4852878572776312,0.939945883771
PB2015.3720.2,4.58933333333,0.13596271563712856,0.5476772384728237,0.945732515412
PB2015.4066.2,1.45566666667,0.28674313022700715,0.312549298903223,0.579914214691
PB2015.15173.1,1.034,0.12217514124290793,0.21250120214658516,0.769508507234
PB2015.15648.1,1.237,0.1966515151516091,0.26370596338354474,0.665164426451
PB2015.1375.18,0.853666666667,0.01786680911681624,0.09596259989851616,0.969768343189
PB2015.4997.2,2.85133333333,0.076176684881605,0.28178146636432594,0.929354197979
PB2015.781.5,1.00633333333,0.24736440677969232,0.2251811678547927,0.500767354314
PB2015.13033.8,0.960666666667,0.15231758530185827,0.22420320608158642,0.695347786781
PB2015.13033.6,0.992333333333,0.15751706036747243,0.23203743516668285,0.695417788343
PB2015.13033.7,0.978666666667,0.15551181102368505,0.22914012414279808,0.695590418286
PB2015.13033.4,1.02,0.06440938511326456,0.15888181660814701,0.859437573706
PB2015.13033.3,1.018,0.05597239915074098,0.14938089881270009,0.877328798251
PB2015.13033.1,1.055,0.05759033613443277,0.1541186351400798,0.878245038212
PB2015.529.1,1.387,0.10692444444444668,0.25192628300582576,0.859492615069
PB2015.3004.8,0.460333333333,0.030123809523785714,0.08031357534986863,0.884805338512
PB2015.3004.9,0.439333333333,0.02873809523810714,0.07661947601174356,0.884787548822
PB2015.3004.6,0.490666666667,0.03338011695909941,0.0849245685695084,0.874805170678
PB2015.11525.1,0.927333333333,0.04351789473685684,0.12655494923888239,0.896893707347
PB2015.3004.4,0.487,0.020800232288024387,0.06784941229431576,0.919415091744
PB2015.394.1,0.983,0.09312890231618126,0.18063150802767156,0.797024699895
PB2015.3004.2,0.537666666667,0.023009227220287195,0.07528056908977539,0.920058606193
PB2015.3004.3,0.518333333333,0.02221138211382578,0.07243728937856439,0.91952866566
PB2015.3881.1,1.34033333333,0.34133333333332333,0.2872458985853946,0.463762664603
PB2015.13120.3,0.713666666667,0.013263459335628867,0.06684533393289523,0.962015902115
PB2015.13120.1,0.181333333333,0.008242424242409091,0.0377715330007787,0.954545454545
PB2015.10375.2,1.58933333333,0.13749538638986558,0.25990668940062134,0.770720256604
PB2015.10375.3,1.67166666667,0.13376354453633194,0.25417807593853414,0.771999933507
PB2015.6229.10,1.38866666667,0.2400790960451828,0.28575805554928635,0.616780918755
PB2015.10375.5,1.592,0.13827177700354235,0.260673244770588,0.769428206993
PB2015.2037.2,2.96533333333,0.16125312595298377,0.34623503751231677,0.815316167817
PB2015.6042.1,NA,NA,NA,NA
PB2015.9898.1,1.173,0.17935802469138334,0.28412649223182956,0.730341919563
PB2015.15928.1,1.52066666667,0.16065966386551261,0.2715887971563872,0.751763932291
PB2015.12624.1,2.26033333333,0.1346158280922797,0.27622622686441156,0.807488315059
PB2015.13411.1,2.26533333333,0.2315635964911513,0.4273432909886652,0.782671187335
PB2015.13411.6,2.159,0.37366666666687354,0.481436147094812,0.64354686807
PB2015.1930.1,1.12466666667,0.22625806451629032,0.2777064501789595,0.620917918388
PB2015.1930.2,0.784333333333,0.1958444444444,0.22684959503029303,0.605828510912
PB2015.15928.6,1.52433333333,0.2229108527131977,0.3006519871474091,0.662047058338
PB2015.13842.2,0.396333333333,0.02561654135338797,0.06388805341237862,0.867603408286
PB2015.13842.3,0.389666666667,0.025292237442924657,0.06176198840868795,0.861534770878
PB2015.13842.1,0.813,0.053826873385015496,0.12483409904287522,0.850635508903
PB2015.16480.1,0.939,0.3391515151514546,0.2811919565654049,0.467891026058
PB2015.13557.16,1.547,0.38851958224543676,0.33826350376207487,0.47990011057
PB2015.9581.2,1.82766666667,0.1938345626976266,0.3192189851456121,0.736853222456
PB2015.2264.5,1.50166666667,0.25503402366860095,0.27531327382417053,0.573090916024
PB2015.14933.1,1.962,0.20803275944525373,0.3171913342799765,0.705982011554
PB2015.8427.2,NA,NA,NA,NA
PB2015.6214.2,NA,NA,NA,NA
